iter	Passed	Remaining
0	159	159446
1	166	83016
2	175	58188
3	183	45593
4	193	38517
5	200	33174
6	205	29126
7	211	26249
8	215	23750
9	218	21672
10	221	19945
11	225	18526
12	227	17308
13	229	16183
14	231	15207
15	233	14338
16	234	13585
17	236	12907
18	238	12298
19	240	11763
20	241	11276
21	243	10813
22	244	10390
23	245	9987
24	246	9619
25	247	9280
26	248	8965
27	249	8673
28	251	8406
29	252	8159
30	253	7938
31	255	7725
32	256	7516
33	257	7319
34	258	7132
35	259	6957
36	261	6793
37	262	6634
38	263	6482
39	264	6339
40	265	6210
41	267	6091
42	268	5969
43	269	5856
44	270	5744
45	272	5649
46	273	5548
47	274	5449
48	275	5352
49	276	5258
50	277	5171
51	278	5083
52	279	5001
53	281	4926
54	283	4864
55	284	4795
56	285	4725
57	286	4657
58	287	4591
59	288	4525
60	289	4461
61	290	4401
62	291	4341
63	292	4284
64	294	4229
65	295	4175
66	296	4126
67	297	4080
68	299	4035
69	300	3989
70	301	3943
71	302	3897
72	303	3852
73	304	3809
74	305	3766
75	306	3723
76	307	3682
77	308	3641
78	308	3602
79	311	3581
80	312	3548
81	314	3515
82	314	3476
83	315	3442
84	316	3409
85	317	3376
86	318	3344
87	319	3314
88	320	3284
89	321	3254
90	322	3224
91	323	3195
92	324	3169
93	326	3145
94	327	3120
95	328	3094
96	329	3069
97	330	3043
98	331	3019
99	332	2994
100	333	2970
101	334	2947
102	335	2923
103	336	2902
104	337	2879
105	338	2857
106	340	2837
107	349	2883
108	354	2897
109	358	2900
110	361	2896
111	364	2888
112	366	2877
113	369	2870
114	371	2861
115	373	2848
116	375	2833
117	377	2819
118	378	2805
119	380	2789
120	381	2773
121	382	2755
122	384	2741
123	386	2727
124	387	2712
125	388	2696
126	389	2679
127	390	2663
128	392	2647
129	393	2631
130	394	2615
131	395	2601
132	396	2584
133	397	2570
134	399	2557
135	400	2544
136	401	2530
137	403	2519
138	404	2506
139	405	2492
140	406	2478
141	407	2462
142	408	2449
143	409	2435
144	410	2421
145	411	2408
146	413	2396
147	414	2385
148	415	2374
149	416	2362
150	418	2350
151	419	2338
152	420	2325
153	421	2313
154	422	2301
155	423	2289
156	424	2277
157	425	2265
158	426	2254
159	427	2245
160	428	2234
161	430	2225
162	431	2214
163	432	2203
164	433	2192
165	434	2182
166	435	2171
167	436	2160
168	437	2150
169	438	2141
170	439	2131
171	440	2121
172	441	2111
173	442	2102
174	443	2092
175	444	2082
176	445	2073
177	446	2063
178	447	2054
179	448	2044
180	449	2034
181	450	2025
182	451	2015
183	452	2006
184	453	1997
185	454	1988
186	455	1979
187	456	1970
188	457	1961
189	466	1987
190	471	1996
191	475	2001
192	478	2002
193	482	2002
194	484	1998
195	486	1996
196	489	1994
197	492	1992
198	494	1988
199	496	1984
200	498	1979
201	499	1973
